handle,url,name,category,country_focus,program_type,followers_approx,notes
agentaupair,https://www.instagram.com/agentaupair/,Agent Au Pair,agency,Global -> USA,J-1 Au Pair,3400,New Haven CT based agency
aupairint,https://www.instagram.com/aupairint/,Au Pair International,agency,Global -> USA,J-1 Au Pair,3700,Cultural exchange agency matching host families and au pairs since 2002
aupairbrasil,https://www.instagram.com/aupairbrasil/,Au Pair Brasil,community,Brazil -> USA,J-1 Au Pair,540,Community page for Brazilian au pairs; reposts via #aupairbrasil
stb_brasil,https://www.instagram.com/stb_brasil/,STB Intercâmbio,agency,Brazil -> USA,Work Experience USA (J-1 SWT) + study abroad,233000,Founded 1971; 70 offices in Brazil; also has regional accounts (stb_brasilia stb_recife stb_salvador etc.)
iec.kazakhstan,https://www.instagram.com/iec.kazakhstan/,IEC Kazakhstan,agency,Kazakhstan -> USA,J-1 Summer Work Travel,15000,Student exchange agency
kcet.kz,https://www.instagram.com/kcet.kz/,KCET,agency,Kazakhstan -> USA,J-1 Summer Work Travel,22000,Work and Travel USA agency
workandtravel_kazakhstan,https://www.instagram.com/workandtravel_kazakhstan/,Work and Travel is Opportunity,agency,Kazakhstan -> USA,J-1 Summer Work Travel,16000,Claims 20+ years experience
workandtravel_astana,https://www.instagram.com/workandtravel_astana/,Work & Travel and Internship Astana,agency,Kazakhstan -> USA,J-1 SWT / internship,15000,Astana-based; operating since 2013
airtravel.kz,https://www.instagram.com/airtravel.kz/,Air Travel KZ,agency,Kazakhstan -> USA,J-1 Summer Work Travel,6400,11+ years in market
workandtravelturkiye,https://www.instagram.com/workandtravelturkiye/,Work and Travel Türkiye,community,Turkey -> USA,J-1 Summer Work Travel,7800,Turkey's main WAT info-sharing page for students
workandtravelgroup.serbia,https://www.instagram.com/workandtravelgroup.serbia/,Work and Travel Group Serbia,agency,Serbia -> USA,J-1 SWT / internship,7100,Largest Balkan W&T company; offices in Serbia Croatia Greece Montenegro Bosnia
unitedworkandtravelserbia,https://www.instagram.com/unitedworkandtravelserbia/,United Work and Travel Serbia,agency,Serbia -> USA,J-1 SWT / H-2B,3500,19 years experience with J-1 and H-2B programs
workandtravelgroup.croatia,https://www.instagram.com/workandtravelgroup.croatia/,Work and Travel Group Croatia,agency,Croatia -> USA,J-1 SWT / internship,3300,Croatian branch of Work and Travel Group
useargentina,https://www.instagram.com/useargentina/,USE Argentina Work & Travel,agency,Argentina -> USA,J-1 Summer Work Travel,11000,USE Work and Travel program; sister branch USE Peru
weinternationalstudies,https://www.instagram.com/weinternationalstudies/,WE International Studies,agency,Colombia -> USA,J-1 Summer Work Travel,,Work & Travel USA Colombia
ace.international,https://www.instagram.com/ace.international/,ACE International,agency,Dominican Republic -> USA,J-1 Summer Work Travel,258000,Largest cultural exchange agency in DR; 20000+ students placed; 18 years
pelican.cultural,https://www.instagram.com/pelican.cultural/,Pelican Cultural Exchange,agency,Ecuador -> USA,J-1 Summer Work Travel,,J-1 specialized agency in Ecuador
owtja,https://www.instagram.com/owtja/,Overseas Work and Travel,agency,Jamaica -> USA,J-1 Summer Work Travel,,Kingston-based work and travel agency
workabroadjamaica,https://www.instagram.com/workabroadjamaica/,Workabroad Jamaica,agency,Jamaica -> USA,J-1 Summer Work Travel,,Registered work and travel agency for J-1 students
acep_ja,https://www.instagram.com/acep_ja/,ACEP JA,agency,Jamaica -> USA,J-1 SWT / camp / internship,2800,Cultural exchange programs for youth
